bus_number,bus_type,pd,qd,gs,bs,area,vm,va,base_kv,zone,vmax,vmin
1,1,0.00,0.00,0.00,0.00,1,1.05,-0.08,220.00,1,1.10,0.90
2,2,0.59,0.26,0.00,0.00,1,0.99,0.06,13.80,1,1.10,0.90
3,2,3.52,1.53,0.00,0.00,1,0.99,0.05,13.80,1,1.10,0.90
4,2,0.00,0.00,0.00,0.00,1,0.99,-0.04,13.80,1,1.10,0.90
5,1,0.00,0.00,0.00,0.00,1,0.98,0.03,66.00,1,1.10,0.90
6,1,0.00,0.00,0.00,0.00,1,0.98,0.03,66.00,1,1.10,0.90
7,1,0.00,0.00,0.00,0.00,1,1.06,-0.06,220.00,1,1.10,0.90
8,2,0.00,0.00,0.00,0.00,1,0.99,0.00,10.50,1,1.10,0.90
9,2,0.00,0.00,0.00,0.00,1,0.99,0.00,10.50,1,1.10,0.90
10,3,0.00,0.00,0.00,0.00,1,0.99,0.00,10.50,1,1.10,0.90
11,1,0.00,0.00,0.00,0.00,1,0.99,-0.07,132.00,1,1.10,0.90
12,1,0.00,0.00,0.00,0.00,1,1.06,-0.06,220.00,1,1.10,0.90
13,2,0.00,0.00,0.00,0.00,1,0.99,0.05,13.80,1,1.10,0.90
14,2,0.00,0.00,0.00,0.00,1,0.99,0.05,13.80,1,1.10,0.90
15,1,0.00,0.00,0.00,0.00,1,1.06,-0.06,220.00,1,1.10,0.90
16,2,0.00,0.00,0.00,0.00,1,0.99,0.06,11.00,1,1.10,0.90
17,1,0.00,0.00,0.00,0.00,1,1.05,-0.09,220.00,1,1.10,0.90
18,2,0.00,0.00,0.00,0.00,1,1.06,0.00,11.00,1,1.10,0.90
19,2,0.00,0.00,0.00,0.00,1,1.06,0.00,11.00,1,1.10,0.90
20,1,0.00,0.00,0.00,0.00,1,1.05,-0.09,220.00,1,1.10,0.90
21,1,0.00,0.00,0.00,0.00,1,1.04,-0.09,220.00,1,1.10,0.90
22,1,7.33,7.10,0.00,0.00,1,0.96,-0.01,66.00,1,1.10,0.90
23,1,2.84,1.89,0.00,0.00,1,0.97,0.00,66.00,1,1.10,0.90
24,1,5.61,4.73,0.00,0.00,1,0.96,-0.02,66.00,1,1.10,0.90
25,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,220.00,1,1.10,0.90
26,1,0.00,0.00,0.00,0.00,1,1.03,-0.08,132.00,1,1.10,0.90
27,2,0.00,0.00,0.00,0.00,1,1.02,-0.02,10.50,1,1.10,0.90
28,2,0.00,0.00,0.00,0.00,1,1.02,-0.02,10.50,1,1.10,0.90
29,2,0.00,0.00,0.00,0.00,1,1.02,-0.03,10.50,1,1.10,0.90
30,1,0.00,0.00,0.00,0.00,1,1.01,-0.04,66.00,1,1.10,0.90
