from_bus,to_bus,r,x,b,rateA,rateB,rateC,tap,shift,status,angmin,angmax
1,7,0.00550,0.03340,0.04711,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,17,0.00059,0.00818,0.02064,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,21,0.00138,0.00908,0.01280,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,46,0.00750,0.04531,0.06412,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,71,0.00607,0.08107,0.20636,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
5,6,0.00000,0.00010,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
5,23,0.11340,0.23710,0.00340,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
6,22,0.18920,0.40450,0.00570,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,12,0.00080,0.00758,0.01220,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,15,0.00118,0.00525,0.00734,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
11,172,0.04140,0.18600,0.03803,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
12,17,0.00186,0.01775,0.02631,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
17,20,0.00150,0.01421,0.02098,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
17,76,0.01123,0.10655,0.15787,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
17,76,0.00673,0.06290,0.22871,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
21,25,0.00702,0.04602,0.06492,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
22,24,0.09229,0.11961,0.00156,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
23,24,0.12833,0.28719,0.00422,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
24,44,0.10000,0.15000,0.00200,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
25,57,0.00500,0.03280,0.04560,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
26,40,0.02416,0.06049,0.01107,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
30,35,0.00600,0.01500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
31,35,0.02390,0.05990,0.00070,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
35,38,0.00000,0.00010,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
35,44,0.06150,0.15910,0.00240,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
35,54,0.03990,0.10010,0.00110,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
39,41,0.00023,0.00222,0.00329,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
39,48,0.00019,0.00178,0.00263,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
39,57,0.00187,0.01776,0.02631,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
40,47,0.00055,0.00324,0.00018,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
41,46,0.00540,0.03262,0.04616,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
41,57,0.00255,0.01541,0.02180,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
41,75,0.00090,0.00852,0.01259,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,55,0.00068,0.00191,0.02173,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,58,0.00677,0.01915,0.19623,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
