Total_Capacity,degree,betweenness,closeness
61.0,0.76,0.76,0.76
62.256410256410255,0.76,0.76,0.76
63.51282051282051,0.76,0.76,0.76
64.76923076923077,0.76,0.76,0.76
66.02564102564102,0.76,0.76,0.76
67.28205128205128,0.76,0.76,0.76
68.53846153846153,0.76,0.76,0.76
69.7948717948718,0.76,0.76,0.76
71.05128205128204,0.76,0.76,0.76
72.3076923076923,0.04,0.76,0.76
73.56410256410257,0.04,0.76,0.76
74.82051282051282,0.04,0.76,0.76
76.07692307692308,0.04,0.76,0.76
77.33333333333333,0.04,0.76,0.76
78.58974358974359,0.04,0.76,0.04
79.84615384615384,0.04,0.76,0.04
81.1025641025641,0.04,0.76,0.04
82.35897435897436,0.04,0.76,0.04
83.61538461538461,0.04,0.76,0.04
84.87179487179488,0.04,0.76,0.04
86.12820512820512,0.04,0.76,0.04
87.38461538461539,0.04,0.76,0.04
88.64102564102564,0.04,0.76,0.04
89.8974358974359,0.04,0.76,0.04
91.15384615384616,0.04,0.76,0.04
92.41025641025641,0.04,0.76,0.04
93.66666666666666,0.04,0.76,0.04
94.92307692307692,0.04,0.76,0.04
96.17948717948718,0.04,0.76,0.04
97.43589743589743,0.04,0.04,0.04
98.6923076923077,0.04,0.04,0.04
99.94871794871796,0.04,0.04,0.04
101.2051282051282,0.04,0.04,0.04
102.46153846153845,0.04,0.04,0.04
103.71794871794872,0.04,0.04,0.04
104.97435897435898,0.04,0.04,0.04
106.23076923076923,0.04,0.04,0.04
107.48717948717949,0.04,0.04,0.04
108.74358974358975,0.04,0.04,0.04
110.0,0.04,0.04,0.04
