Beta,degree,betweenness,closeness
1.0,0.76,0.68,0.04
1.0263157894736843,0.76,0.64,0.76
1.0526315789473684,0.76,0.28,0.76
1.0789473684210527,0.76,0.04,0.76
1.1052631578947367,0.76,0.04,0.76
1.131578947368421,0.24,0.04,0.76
1.1578947368421053,0.16,0.04,0.76
1.1842105263157894,0.16,0.04,0.76
1.2105263157894737,0.12,0.04,0.76
1.236842105263158,0.12,0.04,0.76
1.263157894736842,0.12,0.04,0.76
1.2894736842105263,0.12,0.04,0.76
1.3157894736842106,0.12,0.04,0.76
1.3421052631578947,0.12,0.04,0.76
1.368421052631579,0.12,0.04,0.76
1.3947368421052633,0.12,0.04,0.76
1.4210526315789473,0.12,0.04,0.76
1.4473684210526314,0.12,0.04,0.76
1.4736842105263157,0.12,0.04,0.76
1.5,0.12,0.04,0.76
